# Stream npcanim2 (TOP50 round 5): per-creature ATTACK and BLOCK animations for creatures that
# carry NO weapon-family parameter 2816 - the ones round 4's table cannot reach, including the
# Varrock guards and the elemental wizards the user reported still standing rigid.
#
# THE ROUTE. A creature that wields a weapon is DRAWN HOLDING IT. Its 950 definition's `models`
# array contains the very worn model an item definition publishes in maleEquip1/femaleEquip1/
# maleEquip2/femaleEquip2, so the model maps back to the items that wear it, their own parameter
# 686 names the weapon struct, and that struct's parameter 2914 (typed ANIMATION by the cache's own
# ParamType table) is the attack sequence, 2917 the block sequence - the same two struct fields
# Native950MeleeWeapons.java:69-70 already reads for a PLAYER holding that weapon. A row ships only
# when the creature's models reach EXACTLY ONE weapon family; two families is a refusal.
#
# CALIBRATION, not assumption. On the 250 attackable definitions that carry BOTH parameter 2816 and
# a drawn weapon model, 39 are ambiguous and of the remaining 211 the drawn weapon's 2914 equals the
# declared family's 2914 on 183 (86.7%). The 28 disagreements are all the same shape - the creature
# is drawn with a specific named weapon of a neighbouring melee family (Elite Sotapanna 25574
# declares 14930 and is drawn with a Tetsu katana, struct 14923) - never an unrelated sequence.
# Where both routes exist and disagree the DECLARED family wins and nothing is shipped from the
# model. reports/r5-npcanim2-model-calibration.tsv has all 250.
#
# RENDER GATE. Native950NpcCombatAnimations.compatibleWithRender refuses a legacy-frame combat
# sequence on a creature whose BAS stand animation is a modern/animaya one. The catalogue applies it
# to the inherited authored animation; the round-4 published table bypasses it. Every row here is
# re-checked against it at startup: an incompatible ATTACK sequence is a hard startup failure (no
# such row is shipped) and an incompatible BLOCK sequence is dropped per creature at runtime, which
# is why Seren archer 22470, Seren warrior 22471, Ancient warrior 22498 and Black Knights
# 22488/22489 will swing but not flinch. Seren mage 22472 and Necromancer 22478 are REFUSED
# outright by that gate: their only candidate, staff 18321, is legacy and their stand 37633 is not.
#
# EVIDENCE CLASSES, stated per row and asserted at startup:
#   A - the RS3 wiki names the weapon (or its class) on the creature's OWN page, and the cache's
#       drawn model is a weapon of exactly that class. The round-4 bar.
#   B - the creature's own parameter 2816 AND its drawn model independently name the SAME weapon
#       struct: two cache tables agreeing (index 18 parameters vs index 18 models -> index 19 item
#       -> index 22 struct).
#   C - the drawn model alone. The wiki page confirms the creature's id, level and combat style -
#       quoted in the row - but does NOT name its weapon. This is one notch below A and B and is
#       recorded as such: what a class C row plays is the attack of the weapon the client itself
#       draws in that creature's hand, so a wrong row is a swing of a neighbouring melee family,
#       never an unrelated sequence. 86.7% is the measured agreement rate above.
#
# Everything the row depends on - the creature (index 18), the carrier item (index 19), the struct
# (index 22) and both sequences (index 20) - is SHA-256 pinned in npcanim2-950.properties and
# re-read at startup by Native950NpcDrawnWeapons.verifyCacheBindings().
#
# npcId	npcName	struct	attackSeq	blockSeq	itemId	itemName	model	evidence	route	wikiPage	wikiEvidence
837	Shantay guard	14922	37378	18292	45445	Steel sword	79896	C	drawn-model	Shantay guard	Infobox Monster id = 837, level 15; the page does not name the weapon, so the drawn Steel sword model is the only source.
912	Battle mage	14937	18321	18294	28738	Infernal staff	87746	C	drawn-model	Battle mage	Infobox Monster id1 = 912, level 77, style magic; the page does not name the staff, so the drawn Infernal staff model is the only source.
913	Battle mage	14937	18321	18294	28737	Icyenic staff	87743	C	drawn-model	Battle mage	Infobox Monster id2 = 913, level 77, style magic; the page does not name the staff, so the drawn Icyenic staff model is the only source.
1367	Skraeling	14923	37385	18292	3757	Fremennik blade	4236	C	drawn-model	Skraeling	Infobox Monster id1 = 1367, level 5; the page does not name the weapon, so the drawn Fremennik blade model is the only source.
1904	Menaphite Thug	14925	37367	18292	4599	Oak-blackjack	6099	A	drawn-model	Menaphite Thug	"Although they wield blackjacks, they use battleaxe sound effects when attacking." Infobox Monster id1 = 1904; the drawn model is the Oak-blackjack's, whose own parameter 686 is the 14925 club family.
2246	Khazard trooper	14931	37379	18298	1251	Bronze spear (p)	540	A	drawn-model	Khazard trooper	"While some Troopers use a mace and shield and others use a spear, both are level 44 and have exactly the same stats." The wiki names two weapons and does not say which id carries which; the cache decides it - 2246 is drawn with the spear model 540 and 475 is not.
2709	Fire wizard	14937	18321	18294	1389	Magic staff	534	C	drawn-model	Fire wizard	Infobox Monster id = 2709, level 25, style magic, acc_magic 292 = cache parameter 3; the page names the spells (Fire Strike, a pre-EoC Weaken) but not the staff, so the drawn Magic staff model is the source chosen. It is NOT the only cache candidate: the spell structs the shipped projectiles-950.tsv already binds to this creature publish their own ANIMATION-typed 2914 (Weaken 14745 = 18254, Fire Strike 14746 = 37281) - two numbers with no rule to choose between them, while 18321 shares frame archive 11509 with 18306, the cache's own two-handed variant of that same Weaken cast. Reasoning, not proof; see report section 5.
2710	Water wizard	14937	18321	18294	1389	Magic staff	534	C	drawn-model	Water wizard	Infobox Monster id = 2710, level 19, style magic, acc_magic 245 = cache parameter 3; the page names the spells but not the staff. The drawn staff is not the only cache candidate - see the 2709 row and report section 5 for the competing spell-struct numbers.
2711	Earth wizard	14937	18321	18294	1389	Magic staff	534	C	drawn-model	Earth wizard	Infobox Monster id = 2711, level 22, style magic, acc_magic 268 = cache parameter 3; the page names the spells but not the staff. The drawn staff is not the only cache candidate - see the 2709 row and report section 5 for the competing spell-struct numbers.
2712	Air wizard	14937	18321	18294	1389	Magic staff	534	C	drawn-model	Air wizard	Infobox Monster id = 2712, level 16, style magic, acc_magic 223 = cache parameter 3; the page names the spells but not the staff. The drawn staff is not the only cache candidate - see the 2709 row and report section 5 for the competing spell-struct numbers.
4990	Mercenary	14923	37385	18292	975	Machete	566	C	drawn-model	Mercenary	Infobox Monster id = 4989,4990,4991,4992, level 35, style melee; the page does not name the weapon.
4992	Mercenary	14923	37385	18292	975	Machete	566	C	drawn-model	Mercenary	Infobox Monster id = 4989,4990,4991,4992, level 35, style melee; the page does not name the weapon.
5842	Outlaw	14924	37385	18292	45447	Steel scimitar	80124	C	drawn-model	Outlaw	Infobox Monster id = 5842..5851, level 32; the page does not name the weapon.
